Year,Data File,Survey,Title,CSV,STATA_DATA,STATA,DICT,SPSS,SAS
2023,SFA2223,Student Financial Aid and Net Price,Student financial aid and net price: 2022-23,raw_data/2023/SFA2223.zip,raw_data/2023/SFA2223_Data_Stata.zip,raw_data/2023/SFA2223_STATA.zip,raw_data/2023/SFA2223_Dict.zip,raw_data/2023/SFA2223_SPS.zip,raw_data/2023/SFA2223_SAS.zip
2023,EF2023D,Fall Enrollment,"Total entering class, retention rates, and student-to-faculty ratio: Fall 2023",raw_data/2023/EF2023D.zip,raw_data/2023/EF2023D_Data_Stata.zip,raw_data/2023/EF2023D_STATA.zip,raw_data/2023/EF2023D_Dict.zip,raw_data/2023/EF2023D_SPS.zip,raw_data/2023/EF2023D_SAS.zip
2023,S2023_SIS,Fall Staff,"Full-time instructional staff, by faculty and tenure status, and academic rank  (Degree-granting institutions): Fall 2023",raw_data/2023/S2023_SIS.zip,raw_data/2023/S2023_SIS_Data_Stata.zip,raw_data/2023/S2023_SIS_STATA.zip,raw_data/2023/S2023_SIS_Dict.zip,raw_data/2023/S2023_SIS_SPS.zip,raw_data/2023/S2023_SIS_SAS.zip
2023,S2023_OC,Fall Staff,"Full- and part-time staff by occupational category, race/ethnicity, and gender:  Fall 2023",raw_data/2023/S2023_OC.zip,raw_data/2023/S2023_OC_Data_Stata.zip,raw_data/2023/S2023_OC_STATA.zip,raw_data/2023/S2023_OC_Dict.zip,raw_data/2023/S2023_OC_SPS.zip,raw_data/2023/S2023_OC_SAS.zip
2023,FLAGS2023,Instructional Staff/Salaries,Response status for all survey components,raw_data/2023/FLAGS2023.zip,raw_data/2023/FLAGS2023_Data_Stata.zip,raw_data/2023/FLAGS2023_STATA.zip,raw_data/2023/FLAGS2023_Dict.zip,raw_data/2023/FLAGS2023_SPS.zip,raw_data/2023/FLAGS2023_SAS.zip
2023,SAL2023_NIS,Instructional Staff/Salaries,"Number and salary outlays for full-time nonmedical noninstructional staff, by  gender, and academic rank:  Academic year 2023-24",raw_data/2023/SAL2023_NIS.zip,raw_data/2023/SAL2023_NIS_Data_Stata.zip,raw_data/2023/SAL2023_NIS_STATA.zip,raw_data/2023/SAL2023_NIS_Dict.zip,raw_data/2023/SAL2023_NIS_SPS.zip,raw_data/2023/SAL2023_NIS_SAS.zip
2023,SAL2023_IS,Instructional Staff/Salaries,"Number and salary outlays for full-time nonmedical instructional staff, by  gender, and academic rank:  Academic year 2023-24",raw_data/2023/SAL2023_IS.zip,raw_data/2023/SAL2023_IS_Data_Stata.zip,raw_data/2023/SAL2023_IS_STATA.zip,raw_data/2023/SAL2023_IS_Dict.zip,raw_data/2023/SAL2023_IS_SPS.zip,raw_data/2023/SAL2023_IS_SAS.zip
2023,FLAGS2023,Completions,Response status for all survey components,raw_data/2023/FLAGS2023.zip,raw_data/2023/FLAGS2023_Data_Stata.zip,raw_data/2023/FLAGS2023_STATA.zip,raw_data/2023/FLAGS2023_Dict.zip,raw_data/2023/FLAGS2023_SPS.zip,raw_data/2023/FLAGS2023_SAS.zip
2023,C2023DEP,Completions,"Number of programs offered and number of programs offered via distance education, by award level: July 1, 2022 to June 30, 2023",raw_data/2023/C2023DEP.zip,raw_data/2023/C2023DEP_Data_Stata.zip,raw_data/2023/C2023DEP_STATA.zip,raw_data/2023/C2023DEP_Dict.zip,raw_data/2023/C2023DEP_SPS.zip,raw_data/2023/C2023DEP_SAS.zip
2023,C2023_C,Completions,"Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2022 to June 30, 2023",raw_data/2023/C2023_C.zip,raw_data/2023/C2023_C_Data_Stata.zip,raw_data/2023/C2023_C_STATA.zip,raw_data/2023/C2023_C_Dict.zip,raw_data/2023/C2023_C_SPS.zip,raw_data/2023/C2023_C_SAS.zip
2023,C2023_B,Completions,"Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2022 to June 30, 2023",raw_data/2023/C2023_B.zip,raw_data/2023/C2023_B_Data_Stata.zip,raw_data/2023/C2023_B_STATA.zip,raw_data/2023/C2023_B_Dict.zip,raw_data/2023/C2023_B_SPS.zip,raw_data/2023/C2023_B_SAS.zip
2023,C2023_A,Completions,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender: July 1, 2022 to June 30, 2023",raw_data/2023/C2023_A.zip,raw_data/2023/C2023_A_Data_Stata.zip,raw_data/2023/C2023_A_STATA.zip,raw_data/2023/C2023_A_Dict.zip,raw_data/2023/C2023_A_SPS.zip,raw_data/2023/C2023_A_SAS.zip
2023,FLAGS2023,Fall Enrollment,Response status for all survey components,raw_data/2023/FLAGS2023.zip,raw_data/2023/FLAGS2023_Data_Stata.zip,raw_data/2023/FLAGS2023_STATA.zip,raw_data/2023/FLAGS2023_Dict.zip,raw_data/2023/FLAGS2023_SPS.zip,raw_data/2023/FLAGS2023_SAS.zip
2023,EF2023A_DIST,Fall Enrollment,Distance education status and level of student: Fall 2023,raw_data/2023/EF2023A_DIST.zip,raw_data/2023/EF2023A_DIST_Data_Stata.zip,raw_data/2023/EF2023A_DIST_STATA.zip,raw_data/2023/EF2023A_DIST_Dict.zip,raw_data/2023/EF2023A_DIST_SPS.zip,raw_data/2023/EF2023A_DIST_SAS.zip
