varnumber,varname,codevalue,valuelabel,frequency,percent,file,year
30126,Cipcode,99,Total of all programs,16651,8.31,C2002_A.XLS,2002
30126,Cipcode,01.0101,"Agricultural Business & Management, General",141,0.07,C2002_A.XLS,2002
30126,Cipcode,01.0102,Agricultural Business/Agribusiness Operations,115,0.06,C2002_A.XLS,2002
30126,Cipcode,01.0103,Agricultural Economics,147,0.07,C2002_A.XLS,2002
30126,Cipcode,01.0104,Farm & Ranch Management,82,0.04,C2002_A.XLS,2002
30126,Cipcode,01.0199,"Agricultural Business & Management, Other",24,0.01,C2002_A.XLS,2002
30126,Cipcode,01.0201,"Agricultural Mechanization, General",55,0.03,C2002_A.XLS,2002
30126,Cipcode,01.0204,Agricultural Power Machinery Operator,39,0.02,C2002_A.XLS,2002
30126,Cipcode,01.0299,"Agricultural Mechanization, Other",10,0,C2002_A.XLS,2002
30126,Cipcode,01.0301,"Agricultural Production Workers & Managers, General",75,0.04,C2002_A.XLS,2002
30126,Cipcode,01.0302,Agricultural Animal Husbandry & Production Management,69,0.03,C2002_A.XLS,2002
30126,Cipcode,01.0303,Aquaculture Operations & Production Management,33,0.02,C2002_A.XLS,2002
30126,Cipcode,01.0304,Crop Production Operations & Management,15,0.01,C2002_A.XLS,2002
30126,Cipcode,01.0399,"Agricultural Production Workers & Managers, Other",2,0,C2002_A.XLS,2002
30126,Cipcode,01.0401,Agricultural & Food Products Processing Operations & Mgt,28,0.01,C2002_A.XLS,2002
30126,Cipcode,01.0501,Agricultural Supplies Retailing & Wholesaling,28,0.01,C2002_A.XLS,2002
30126,Cipcode,01.0505,Animal Trainer,5,0,C2002_A.XLS,2002
30126,Cipcode,01.0507,"Equestrian/Equine Studies, Horse Management & Training",66,0.03,C2002_A.XLS,2002
30126,Cipcode,01.0599,"Agricultural Supplies & Related Services, Other",14,0.01,C2002_A.XLS,2002
30126,Cipcode,01.0601,"Horticulture Services Operations & Management, General",246,0.12,C2002_A.XLS,2002
30126,Cipcode,01.0603,Ornamental Horticulture Operations & Management,143,0.07,C2002_A.XLS,2002
30126,Cipcode,01.0604,Greenhouse Operations & Management,21,0.01,C2002_A.XLS,2002
30126,Cipcode,01.0605,Landscaping Operations & Management,160,0.08,C2002_A.XLS,2002
30126,Cipcode,01.0606,Nursery Operations & Management,30,0.01,C2002_A.XLS,2002
30126,Cipcode,01.0607,Turf Management,76,0.04,C2002_A.XLS,2002
30126,Cipcode,01.0699,"Horticulture/Services Operations & Management, Other",22,0.01,C2002_A.XLS,2002
30126,Cipcode,01.0701,International Agriculture,9,0,C2002_A.XLS,2002
30126,Cipcode,01.9999,"Agricultural Business & Production, Other",33,0.02,C2002_A.XLS,2002
30126,Cipcode,02.0101,"Agriculture/Agricultural Sciences, General",229,0.11,C2002_A.XLS,2002
30126,Cipcode,02.0102,Agricultural Extension,14,0.01,C2002_A.XLS,2002
30126,Cipcode,02.0201,"Animal Sciences, General",233,0.12,C2002_A.XLS,2002
30126,Cipcode,02.0202,Agricultural Animal Breeding & Genetics,10,0,C2002_A.XLS,2002
30126,Cipcode,02.0203,Agricultural Animal Health,6,0,C2002_A.XLS,2002
30126,Cipcode,02.0204,Agricultural Animal Nutrition,4,0,C2002_A.XLS,2002
30126,Cipcode,02.0205,Agricultural Animal Physiology,3,0,C2002_A.XLS,2002
30126,Cipcode,02.0206,Dairy Science,34,0.02,C2002_A.XLS,2002
30126,Cipcode,02.0209,Poultry Science,37,0.02,C2002_A.XLS,2002
30126,Cipcode,02.0299,"Animal Sciences, Other",36,0.02,C2002_A.XLS,2002
30126,Cipcode,02.0301,Food Sciences & Technology,119,0.06,C2002_A.XLS,2002
30126,Cipcode,02.0401,"Plant Sciences, General",69,0.03,C2002_A.XLS,2002
30126,Cipcode,02.0402,Agronomy & Crop Science,120,0.06,C2002_A.XLS,2002
30126,Cipcode,02.0403,Horticulture Science,112,0.06,C2002_A.XLS,2002
30126,Cipcode,02.0405,Plant Breeding & Genetics,6,0,C2002_A.XLS,2002
30126,Cipcode,02.0406,Agricultural Plant Pathology,10,0,C2002_A.XLS,2002
