CodeValue,ValueLabel,file,year
A,Not applicable,EAP2004,2004
B,Institution left item blank,EAP2004,2004
C,Analyst corrected reported value,EAP2004,2004
D,Do not know,EAP2004,2004
G,Data generated from other data values,EAP2004,2004
H,Value not derived - data not usable,EAP2004,2004
J,Logical imputation,EAP2004,2004
K,Ratio adjustment,EAP2004,2004
L,Imputed using the Group Median procedure,EAP2004,2004
N,Imputed using Nearest Neighbor procedure,EAP2004,2004
P,Imputed using Carry Forward procedure,EAP2004,2004
R,Reported,EAP2004,2004
Z,Implied zero;,EAP2004,2004
A,Not applicable,EF2004A,2004
B,Institution left item blank,EF2004A,2004
C,Analyst corrected reported value,EF2004A,2004
D,Do not know,EF2004A,2004
G,Data generated from other data values,EF2004A,2004
H,Value not derived - data not usable,EF2004A,2004
J,Logical imputation,EF2004A,2004
K,Ratio adjustment,EF2004A,2004
L,Imputed using the Group Median procedure,EF2004A,2004
N,Imputed using Nearest Neighbor procedure,EF2004A,2004
P,Imputed using Carry Forward procedure,EF2004A,2004
R,Reported,EF2004A,2004
Z,Implied zero;,EF2004A,2004
A,Not applicable,EF2004B,2004
B,Institution left item blank,EF2004B,2004
C,Analyst corrected reported value,EF2004B,2004
D,Do not know,EF2004B,2004
G,Data generated from other data values,EF2004B,2004
H,Value not derived - data not usable,EF2004B,2004
J,Logical imputation,EF2004B,2004
K,Ratio adjustment,EF2004B,2004
L,Imputed using the Group Median procedure,EF2004B,2004
N,Imputed using Nearest Neighbor procedure,EF2004B,2004
P,Imputed using Carry Forward procedure,EF2004B,2004
R,Reported,EF2004B,2004
Z,Implied zero;,EF2004B,2004
A,Not applicable,EF2004C,2004
B,Institution left item blank,EF2004C,2004
C,Analyst corrected reported value,EF2004C,2004
D,Do not know,EF2004C,2004
G,Data generated from other data values,EF2004C,2004
H,Value not derived - data not usable,EF2004C,2004
J,Logical imputation,EF2004C,2004
K,Ratio adjustment,EF2004C,2004
L,Imputed using the Group Median procedure,EF2004C,2004
N,Imputed using Nearest Neighbor procedure,EF2004C,2004
P,Imputed using Carry Forward procedure,EF2004C,2004
R,Reported,EF2004C,2004
Z,Implied zero;,EF2004C,2004
A,Not applicable,EF2004CP,2004
B,Institution left item blank,EF2004CP,2004
C,Analyst corrected reported value,EF2004CP,2004
D,Do not know,EF2004CP,2004
G,Data generated from other data values,EF2004CP,2004
H,Value not derived - data not usable,EF2004CP,2004
J,Logical imputation,EF2004CP,2004
K,Ratio adjustment,EF2004CP,2004
L,Imputed using the Group Median procedure,EF2004CP,2004
N,Imputed using Nearest Neighbor procedure,EF2004CP,2004
P,Imputed using Carry Forward procedure,EF2004CP,2004
R,Reported,EF2004CP,2004
Z,Implied zero;,EF2004CP,2004
A,Not applicable,EF2004D,2004
B,Institution left item blank,EF2004D,2004
C,Analyst corrected reported value,EF2004D,2004
D,Do not know,EF2004D,2004
G,Data generated from other data values,EF2004D,2004
H,Value not derived - data not usable,EF2004D,2004
J,Logical imputation,EF2004D,2004
K,Ratio adjustment,EF2004D,2004
L,Imputed using the Group Median procedure,EF2004D,2004
N,Imputed using Nearest Neighbor procedure,EF2004D,2004
P,Imputed using Carry Forward procedure,EF2004D,2004
R,Reported,EF2004D,2004
Z,Implied zero;,EF2004D,2004
A,Not applicable,EFFY2004,2004
B,Institution left item blank,EFFY2004,2004
C,Analyst corrected reported value,EFFY2004,2004
D,Do not know,EFFY2004,2004
G,Data generated from other data values,EFFY2004,2004
H,Value not derived - data not usable,EFFY2004,2004
J,Logical imputation,EFFY2004,2004
K,Ratio adjustment,EFFY2004,2004
L,Imputed using the Group Median procedure,EFFY2004,2004
N,Imputed using Nearest Neighbor procedure,EFFY2004,2004
P,Imputed using Carry Forward procedure,EFFY2004,2004
R,Reported,EFFY2004,2004
Z,Implied zero;,EFFY2004,2004
A,Not applicable,EFIA2004,2004
B,Institution left item blank,EFIA2004,2004
C,Analyst corrected reported value,EFIA2004,2004
D,Do not know,EFIA2004,2004
G,Data generated from other data values,EFIA2004,2004
H,Value not derived - data not usable,EFIA2004,2004
J,Logical imputation,EFIA2004,2004
K,Ratio adjustment,EFIA2004,2004
L,Imputed using the Group Median procedure,EFIA2004,2004
N,Imputed using Nearest Neighbor procedure,EFIA2004,2004
P,Imputed using Carry Forward procedure,EFIA2004,2004
R,Reported,EFIA2004,2004
Z,Implied zero;,EFIA2004,2004
A,Not applicable,F0304_F1A,2004
B,Institution left item blank,F0304_F1A,2004
C,Analyst corrected reported value,F0304_F1A,2004
D,Do not know,F0304_F1A,2004
G,Data generated from other data values,F0304_F1A,2004
H,Value not derived - data not usable,F0304_F1A,2004
J,Logical imputation,F0304_F1A,2004
K,Ratio adjustment,F0304_F1A,2004
L,Imputed using the Group Median procedure,F0304_F1A,2004
N,Imputed using Nearest Neighbor procedure,F0304_F1A,2004
P,Imputed using Carry Forward procedure,F0304_F1A,2004
R,Reported,F0304_F1A,2004
Z,Implied zero;,F0304_F1A,2004
A,Not applicable,F0304_F1A_G,2004
B,Institution left item blank,F0304_F1A_G,2004
C,Analyst corrected reported value,F0304_F1A_G,2004
D,Do not know,F0304_F1A_G,2004
G,Data generated from other data values,F0304_F1A_G,2004
H,Value not derived - data not usable,F0304_F1A_G,2004
J,Logical imputation,F0304_F1A_G,2004
K,Ratio adjustment,F0304_F1A_G,2004
L,Imputed using the Group Median procedure,F0304_F1A_G,2004
N,Imputed using Nearest Neighbor procedure,F0304_F1A_G,2004
P,Imputed using Carry Forward procedure,F0304_F1A_G,2004
R,Reported,F0304_F1A_G,2004
Z,Implied zero;,F0304_F1A_G,2004
A,Not applicable,F0304_F2,2004
B,Institution left item blank,F0304_F2,2004
C,Analyst corrected reported value,F0304_F2,2004
D,Do not know,F0304_F2,2004
